objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
6679,100872733,1621,NA,NA,NA,MULBERRY,AVE,NA,22903,R,NA,NA,6679,310122000,Single Family,1 Story,C,Wood,Shingles,W/W Carpet,No Basement,Baseboard,0,1992,1,5,3,1,1,0,960,0,0
6681,101872757,1613,NA,NA,NA,CHERRY,AVE,NA,22903,R,NA,NA,6681,310123000,Duplex,1 Story,D,Wood,Shingles,W/W Carpet,No Basement,Baseboard,0,1989,1,8,4,0,2,0,1348,NA,NA
6682,102002778,1638,NA,NA,NA,CENTER,AVE,NA,22903,R,NA,NA,6682,310124000,Single Family,2 Story,D,Aluminum,Shingles,Hardwood,No Basement,Forced Air,0,1925,2,7,3,0,1,0,1863,0,0
6683,102802875,1617,NA,NA,NA,CHERRY,AVE,NA,22903,R,NA,NA,6683,310125000,Single Family,2 Story,D,Asbestos,Shingles,Hardwood,No Basement,Hot Water Radiator,0,1925,2,6,3,0,1,0,1878,0,0
6684,102902910,1509,NA,NA,NA,TRAILRIDGE,RD,NA,22903,R,NA,NA,6684,310126000,Single Family,1.5 Story,D,Concrete Block,Shingles,Hardwood,Full Basement,Forced Air,1,1957,1.5,6,3,0,2,0,1443,962,0
6685,103452981,1626,NA,NA,NA,MULBERRY,AVE,NA,22903,R,NA,NA,6685,310127000,Single Family,1 Story,C,Wood,Shingles,W/W Carpet,No Basement,Forced Air,0,1996,1,4,2,0,1,0,828,0,0
6496,343514151,608,E,#,NA,CABELL,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,51763,300108100,Single Family,2 Story,C,Aluminum,Shingles,Hardwood,No Basement,Gas Wall Unit,0,1920,2,6,4,0,1,0,1423,0,0
6503,61218241,700,A,#,NA,GROVE,AVE,NA,22902,R,PFAUTZ,2016-11-28T17:23:06.000Z,51764,300113100,Single Family,2 Story,C,Vinyl,Shingles,Hardwood,No Basement,Forced Air,0,1999,2,6,3,1,2,0,1536,0,0
6507,74110793,2021,B,#,NA,MICHIE,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:06.000Z,51765,300117000,Single Family,1 Story,C,Asbestos,Shingles,Hardwood,No Basement,Floor Furnace,0,1953,1,4,2,0,1,0,720,0,0
6002,93582006,609,NA,NA,NA,PROSPECT,AVE,NA,22903,R,NA,NA,6002,290151000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
