objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,year_built,gross_area,story_height,number_of_stories
2227,150611723,2401,56,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2227,570002000,Storage Warehouse,2002,546,8,1
2334,150611772,2401,19,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2334,590142000,Recreational Enclosure,2000,429,10,1
2335,150611723,2401,37,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2335,590149200,Convenience Market,1980,2400,12,1
2336,150611723,2401,48,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2336,590152000,Office,1997,3344,12,1
2337,150611723,2401,49,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2337,590221000,Convenience Market,1920,824,12,1
2067,91321779,2114,B,#,NA,HILL,ST,NA,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50743,540061300,Office Building,1986,608,16,1
2238,645279,310,300,#,NA,4TH,ST,NE,22902,NA,PFAUTZ,2016-11-28T17:23:06.000Z,50775,570025000,Office Building,1953,1253,10,1
2245,71648674,1011,203,#,E,JEFFERSON,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:06.000Z,50777,570039000,Office Building,1951,2895,12,1
2246,596916712,440,A,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:06.000Z,50778,570041000,Office Building,2002,3008,12,1
2249,7640620,100,1,#,E,SOUTH,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:06.000Z,50779,570065000,Elementary Sch (Entire),1930,36789,12,3
2255,225812758,136,7,#,NA,UNIVERSITY,GDNS,NA,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50782,570115000,Industrial Light Manufacturing,1931,26650,12,5
2257,371814329,507,4,#,NA,16TH,ST,NW,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50783,570115000,Industrial Light Manufacturing,1931,10000,12,1
2259,1013120017,1518,101,#,E,MARKET,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:06.000Z,50784,570119000,Office Building,1940,257,12,1
2260,1013120017,1518,204,#,E,MARKET,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:06.000Z,50785,570121000,Commercial,1942,6848,12,2
2270,357814231,714,B,#,NA,MADISON,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50787,570125A00,Apartments 1-10 units,2000,4320,8,2
2271,124045607,2603,A,#,NA,JEFFERSON PARK,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50788,570128000,Apartments 1-10 units,1969,2860,8,2
2273,36610238,1920,2,#,NA,SWANSON,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:06.000Z,50789,570133000,Apartments 1-10 units,1993,4752,8,2
2274,36610238,1920,6,#,NA,SWANSON,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:06.000Z,50790,570135000,Commercial,1960,3420,14,1
2275,80010810,1718,C,#,NA,HYDRAULIC,RD,NA,22901,C,PFAUTZ,2016-11-28T17:23:06.000Z,50791,570157000,Commercial,1975,13200,12,1
2276,36610238,1920,8,#,NA,SWANSON,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:06.000Z,50792,570160000,Multiple Commercial Use,1969,11600,20,1
2284,109342934,900,A,#,NA,1ST,ST,S,22902,R,PFAUTZ,2016-11-28T17:23:06.000Z,50794,580123000,Office Building,1984,10096,10,1
2290,28177473,1115,B,#,NA,RIVER,CT,NA,22901,R,PFAUTZ,2016-11-28T17:23:06.000Z,50797,580147000,Multiple Commercial Use,1920,3238,10,2
2294,367514279,604,B,#,NA,15TH,ST,NW,22903,R,PFAUTZ,2016-11-28T17:23:06.000Z,50800,580183000,Church,1940,288,12,2
2068,1467710268,2302,A,APT,NA,NORTH BERKSHIRE,RD,NA,22901,R,NA,NA,2068,540061500,Convenience Market,1953,5153,12,1
2237,78858888,1117,I,STE,E,MARKET,ST,NA,22902,C,NA,NA,2237,570024000,Office Building,1948,2361,10,1
2342,1467710268,2302,B,APT,NA,NORTH BERKSHIRE,RD,NA,22901,R,NA,NA,2342,600252100,Apartments 11-20 Units,2012,17187,12,3
2343,1394415847,313,6,APT,NA,13TH,ST,NW,22903,R,NA,NA,2343,600252100,Apartments 11-20 Units,2012,6360,14,1
2344,1394415847,313,7,APT,NA,13TH,ST,NW,22903,R,NA,NA,2344,600255000,Clubhouse,1970,638,12,1
2345,1394415847,313,8,APT,NA,13TH,ST,NW,22903,R,NA,NA,2345,610002000,Apartments over 20 units,1924,31616,8,2
2351,102032989,213,A,APT,NA,STRIBLING,AVE,NA,22903,R,NA,NA,2351,610049400,Office Building,1996,5700,10,1.5
2207,270613276,1012,NA,NA,NA,ASHBY,PL,NA,22901,R,NA,NA,2207,5600442B0,Commercial,1987,1342,11,1
2208,274513317,1010,NA,NA,NA,ASHBY,PL,NA,22901,R,NA,NA,2208,5600442B0,Commercial,1987,1414,11,1
2209,275113336,702,NA,NA,NA,DELL,LN,NA,22901,R,NA,NA,2209,5600442C0,Multiple Commercial Use,1987,2212,11,1
2219,49210404,2111,24,APT,NA,MICHIE,DR,NA,22901,R,NA,NA,2219,560045000,Office Building,1990,3168,12,1
2352,102703008,219,B,APT,NA,STRIBLING,AVE,NA,22903,R,NA,NA,2352,610049400,Office Building,1996,3800,12,1
2368,420214890,1104,A,APT,NA,GRADY,AVE,NA,22903,R,NA,NA,2368,610056000,Service Repair Garage,1973,2700,12,1
2370,376514383,1011,A,APT,NA,PRESTON,AVE,NA,22903,R,NA,NA,2370,610057200,Service Repair Garage,1977,900,12,1
2371,376514383,1011,B,APT,NA,PRESTON,AVE,NA,22903,R,NA,NA,2371,610057600,Service Repair Garage,1963,648,10,1
2108,115674727,1313,NA,NA,NA,HAMPTON,ST,NA,22902,R,NA,NA,2108,540137E00,Office,0,NA,NA,NA
2109,117564906,1314,NA,NA,NA,HAMPTON,ST,NA,22902,R,NA,NA,2109,540141000,Day Care Center,2013,4495,10,1
2110,108311182,1312,NA,NA,NA,CARTER,LN,NA,22901,R,NA,NA,2110,540141000,Day Care Center,NA,NA,NA,NA
2111,111711222,1306,NA,NA,NA,CARTER,LN,NA,22901,R,NA,NA,2111,540143000,Group Care Home,1920,3714,12,2
2112,114811273,1323,NA,NA,NA,KENWOOD,LN,NA,22901,R,NA,NA,2112,540143000,Group Care Home,1920,280,12,1
2113,114911263,1302,NA,NA,NA,KENWOOD,LN,NA,22901,R,NA,NA,2113,540144000,Office Building,1957,1804,8,1
2114,119011325,1324,NA,NA,NA,KENWOOD,LN,NA,22901,R,NA,NA,2114,540144000,Office Building,1957,1125,12,1
2115,58438145,806,NA,NA,NA,VALLEY VIEW,CIR,NA,22902,R,NA,NA,2115,540145000,Office Building,1971,1652,10,1
2116,132806698,907,NA,NA,NA,ROUGEMONT,AVE,NA,22902,R,NA,NA,2116,540145000,Office Building,1971,3776,10,1
2117,92089432,330,NA,NA,NA,RIVERSIDE,AVE,NA,22902,R,NA,NA,2117,540145000,Office Building,1971,1652,10,1
2118,608616792,407,NA,NA,NA,ALTAMONT,CIR,NA,22902,R,NA,NA,2118,540145000,Office Building,1971,3776,10,1
2120,67138476,525,NA,NA,NA,CAROLINE,AVE,NA,22902,R,NA,NA,2120,540148000,Office Building,1946,419,8,1
2121,67388475,526,NA,NA,NA,MEADE,AVE,NA,22902,R,NA,NA,2121,540149000,Apartments 1-10 units,1946,1198,8,2
2122,68438532,519,NA,NA,NA,CAROLINE,AVE,NA,22902,R,NA,NA,2122,540149000,Apartments 1-10 units,1946,379,8,1
2123,141395834,1394,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,2123,540150000,Office Building,1925,2642,10,2
2134,128496057,949,NA,NA,NA,RIVES,ST,NA,22902,R,NA,NA,2134,540161000,Multiple Commercial Use,1970,17465,12,1
2135,112374142,906,NA,NA,NA,BLENHEIM,AVE,NA,22902,R,NA,NA,2135,540168000,Medical Office,1977,4500,10,1
2136,492515680,705,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2136,540185000,Apartments 1-10 units,1925,3062,8,2
2137,519215948,627,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2137,540185000,Apartments 1-10 units,1925,100,8,1
2138,570916427,540,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2138,540253000,Multiple Commercial Use,1935,1323,12,1
2157,99522485,721,NA,NA,NA,PROSPECT,AVE,NA,22903,R,NA,NA,2157,540277I00,Office,2001,2366,12,1
2158,112334170,614,NA,NA,NA,BAILEY,RD,NA,22903,R,NA,NA,2158,540277J00,Office,2001,2246,12,1
2194,727521636,105,NA,NA,NA,4TH,ST,SE,22902,NA,NA,NA,2194,560042000,Office Building,1977,1618,10,2
2198,87049283,329,NA,NA,NA,RIVERSIDE,AVE,NA,22902,I,NA,NA,2198,560043200,Commercial,2013,20023,16,1
2266,36910241,2003,NA,NA,NA,GREENBRIER,DR,NA,22901,R,NA,NA,2266,570123520,Group Care Home,1985,3724,8,2
2332,290313519,1129,8A,APT,NA,PRESTON,AVE,NA,22903,R,emerickr,2014-12-02T15:04:37.000Z,2332,590053BO0,Governmental Bldg.,1950,318,12,1
2236,139128516,402,B 1,APT,NA,11TH,ST,NE,22902,R,PFAUTZ,2016-06-14T19:30:40.000Z,49773,570022000,Mixed Retail w/Res Units,1950,1019,12,1
2146,13933172,775,4A,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2146,540273000,Multiple Commercial Use,1999,10800,12,1.35
2147,13933172,775,4B,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2147,540277100,Medical Office,1993,6096,10,2
2149,13933178,755,4C,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2149,540277A00,Apartments 11-20 Units,2001,1640,10,1
2151,13933199,725,3B,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2151,540277B00,Office,2001,2236,12,1
2152,13933178,755,2A,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2152,540277C00,Office,2001,1952,12,1
2153,13933261,760,4B,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2153,540277D00,Office,2001,2262,12,1
2154,13933261,770,4D,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2154,540277F00,Office,2001,4500,12,1
2155,13933199,725,2B,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2155,540277G00,Office,2001,2036,12,1
2156,13933199,735,1A,UNIT,NA,WALKER,SQ,NA,22903,R,NA,NA,2156,540277H00,Office,2001,2655,12,1
2022,81391098,310,14,#,NA,AVON,ST,NA,22902,C,PFAUTZ,2016-11-28T17:23:14.000Z,50722,530297000,Bank,1989,2047,10,1
2024,507215773,770,103,#,NA,HARRIS,ST,NA,22903,C,PFAUTZ,2016-11-28T17:23:14.000Z,50724,530299100,Office,1989,2147,10,1
2031,269013239,2171,13,#,NA,IVY,RD,NA,22903,C,PFAUTZ,2016-11-28T17:23:14.000Z,50726,530299600,Office,1989,1844,10,1
2039,7667634,410,100,#,E,WATER,ST,NA,22902,C,PFAUTZ,2016-11-28T17:23:14.000Z,50731,540004100,Medical Office,1959,2064,10,1
2052,82971277,500,407,#,NA,1ST,ST,S,22902,R,PFAUTZ,2016-11-28T17:23:17.000Z,50738,540019100,Medical Office,1983,3722,8,2
2074,516815844,750,105,#,NA,HARRIS,ST,NA,22903,C,PFAUTZ,2016-11-28T17:23:14.000Z,50746,540113000,Commercial,1954,328,8,1
2126,81879010,1110,8M,#,E,MARKET,ST,NA,22902,C,PFAUTZ,2016-11-28T17:23:14.000Z,50747,540154000,Multiple Commercial Use,1984,7150,12,1
2127,605316778,415,5,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:17.000Z,50748,540154000,Multiple Commercial Use,1984,1350,12,1.5
2128,82618998,1122,A,#,E,MARKET,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:18.000Z,50749,540154000,Multiple Commercial Use,1984,1800,12,2
2192,98732421,104,B,APT,NA,MORRIS PAUL,CT,NA,22903,R,NA,NA,2192,5600404A0,Mini-warehouse,2000,22376,18,2
2295,730820814,400,3,#,E,MAIN,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:09.000Z,50801,580216000,Office Building,1945,1414,8,1
2297,626716927,300,300,#,NA,PRESTON,AVE,NA,22902,C,PFAUTZ,2016-11-28T17:23:06.000Z,50803,580219000,Church,1958,21000,12,2
2267,37310244,1920,NA,NA,NA,GREENBRIER,DR,NA,22901,R,NA,NA,2267,570123520,Group Care Home,1985,506,8,2
2268,38410246,2210,NA,NA,NA,GREENBRIER,DR,NA,22901,R,NA,NA,2268,570123720,Apartments 1-10 units,1970,3524,8,2
2277,559316365,511,308,UNIT,NA,1ST,ST,N ,22902,R,NA,NA,2277,570160000,Multiple Commercial Use,1969,8400,12,1
2278,559316365,511,309,UNIT,NA,1ST,ST,N ,22902,R,NA,NA,2278,570161000,Multiple Commercial Use,2002,10008,12,1
2299,46510351,1815,NA,NA,NA,YORKTOWN,DR,NA,22901,R,NA,NA,2299,580256000,Multiple Commercial Use,1920,1820,8,2
2300,46610343,1813,NA,NA,NA,YORKTOWN,DR,NA,22901,R,NA,NA,2300,580256000,Multiple Commercial Use,1920,1081,10,1
2301,111864058,821,NA,NA,NA,ORANGEDALE,AVE,NA,22903,R,NA,NA,2301,580257000,Apartments 11-20 Units,0,468,NA,2
2302,109453946,613,NA,NA,NA,BAILEY,RD,NA,22903,R,NA,NA,2302,580257000,Apartments 11-20 Units,0,1104,NA,2
2303,103572978,742,NA,NA,NA,ORANGEDALE,AVE,NA,22903,R,NA,NA,2303,580257000,Apartments 11-20 Units,0,468,NA,2
2304,100292562,720,NA,NA,NA,ORANGEDALE,AVE,NA,22903,R,NA,NA,2304,580257000,Apartments 11-20 Units,0,1104,NA,2
2305,98582412,308,NA,NA,NA,CHESTNUT,ST,NA,22902,R,NA,NA,2305,580258000,Commercial,1958,2078,10,2
2306,98902502,709,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,2306,580258000,Commercial,1958,2037,10,1
2307,102062801,1100,NA,NA,NA,LEONARD,ST,NA,22902,R,NA,NA,2307,580259000,Commercial,1912,1480,10,1
2309,129946329,2611,NA,NA,NA,WILLARD,DR,NA,22903,R,NA,NA,2309,580260000,Barber Shop,1959,480,10,1
2310,130436397,309,NA,NA,NA,HARRIS,RD,NA,22903,R,NA,NA,2310,580262000,Restaurant,1920,792,8,NA
2311,83910869,1613,NA,NA,NA,KENWOOD,LN,NA,22901,R,NA,NA,2311,580263000,Restaurant,1920,1364,8,NA
2312,117294938,1302,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,2312,580263000,Restaurant,1920,546,8,NA
2313,742620843,106,NA,NA,NA,5TH,ST,SE,22902,NA,NA,NA,2313,580268100,Service Repair Garage,1945,1058,12,1
2314,130726440,210,NA,NA,NA,HARRIS,RD,NA,22903,R,NA,NA,2314,580281000,Commercial,1950,1514,12,1
2315,1452817358,711,NA,NA,NA,RAINIER,RD,NA,22903,R,NA,NA,2315,580282000,Retail Store,1945,853,12,1
2316,130846503,113,NA,NA,NA,HARRIS,RD,NA,22903,R,NA,NA,2316,580289000,Office Building,1998,34407,12,1
