RecordID_Int,ParcelNumber,UseCode,Style,Grade,ExtWalls,Roof,Flooring,BsmtType,Heating,Fireplace,YearBuilt,NoOfStories,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,SqFootageFinishedLiving,Basement,FinishedBasement
7148,330189000,Single Family,2 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Hot Water Radiator,0,1890,2.00,8,3,0,3,0,3269,0,0
7149,330194000,Rooming House,2 Story,A,Brick Veneer,Slate,None,Full Basement,Heat Pump,5,1814,2.00,12,4,1,4,0,3888,1944,1880
7150,330194000,Rooming House,2 Story,A,Brick Veneer,Slate,None,Full Basement,Heat Pump,5,1814,2.00,12,4,1,4,0,3888,1944,1880
7151,330195000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7152,330200190,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1032,0,0
7153,330200210,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7154,330200220,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,7,3,0,2,,2097,0,0
7155,330200230,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7156,330200240,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,7,3,0,2,,2097,0,0
7157,330200250,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7158,330200260,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,7,3,0,2,,2097,0,0
7159,330200270,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7160,330200280,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1143,0,0
7161,330200290,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1084,0,0
7162,330200301,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1156,0,0
7163,330200310,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1249,0,0
7164,330200320,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7165,330200330,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1248,0,0
7166,330200340,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7167,330200350,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1248,0,0
7168,330200360,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
