objectid,lat,lon,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
2981,38.03851646355942,-78.48601752435951,438415103,808,NA,NA,NA,HENRY,AVE,NA,22903,R,NA,NA,2981,200257000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,1,1959,1,7,4,0,2,0,1350,NA,NA
2982,38.03856916177785,-78.4825284847843,439015115,604,NA,NA,NA,CYNTHIANNA,AVE,NA,22903,R,NA,NA,2982,200258000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1959,1,8,3,0,1,0,1102,1102,551
2983,38.04024733884239,-78.50968572241429,363314424,115,NA,NA,NA,ROTHERY,RD,NA,22903,R,NA,NA,2983,200259100,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1966,1,6,3,1,1,0,1156,1156,0
2984,38.0506149535332,-78.48527610223292,156111800,1612,NA,NA,NA,GREENLEAF,LN,NA,22903,R,NA,NA,2984,200259101,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1966,1,8,3,1,1,0,1196,1163,582
2985,38.04432827165457,-78.48013444080875,264613229,1413,NA,NA,NA,WESTWOOD,RD,NA,22903,R,NA,NA,2985,200259110,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1967,1,8,3,1,2,0,1158,1158,758
2986,38.04431196254216,-78.47966049125976,267513243,1408,NA,NA,NA,WESTWOOD,RD,NA,22903,R,NA,NA,2986,200259120,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2987,38.04404954529724,-78.4817750676601,275913345,1430,NA,NA,NA,WESTWOOD,RD,NA,22903,R,NA,NA,2987,200259130,Duplex,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1967,1,10,4,0,3,1,1518,1518,759
2988,38.049672995163,-78.48281158049558,166811935,1602,NA,NA,NA,ROSE HILL,DR,NA,22903,R,NA,NA,2988,200259140,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1966,1,10,3,1,1,0,1138,1163,540
2989,38.05160147557517,-78.49853156897485,144011666,2043,NA,NA,NA,BARRACKS,RD,NA,22903,C,NA,NA,2989,200259150,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1967,1,8,3,1,2,0,1133,1160,729
2994,38.02244640226174,-78.50430218691201,104933225,607,NA,NA,NA,SHAMROCK,RD,NA,22903,R,NA,NA,2994,200259200,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1966,1,7,3,1,1,0,1174,1174,1031
2995,38.02247812463551,-78.50331380482284,105033205,1519,NA,NA,NA,TRAILRIDGE,RD,NA,22903,R,NA,NA,2995,200259201,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1968,1,7,3,0,2,0,1116,1116,800
2998,38.01742185602752,-78.48231183915213,1508219752,720,NA,NA,NA,ROCKLAND,AVE,NA,22902,R,NA,NA,2998,200259230,Single Family,1 Story,C,Brick Veneer,Shingles,W/W Carpet,Full Basement,Forced Air,1,1966,1,6,2,1,1,0,1296,1296,559
2999,38.017346749128336,-78.48138857210724,1263419754,807,NA,NA,NA,ROCKLAND,AVE,NA,22902,R,NA,NA,2999,200259240,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,2,1965,1,6,3,1,1,0,1520,1106,0
3000,38.0162235385051,-78.4831389364793,1441119768,119,NA,NA,NA,BLINCOE,LN,NA,22902,R,NA,NA,3000,200259250,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1966,1,7,3,1,2,0,1296,1278,669
2216,38.04188061097588,-78.50186362700514,339014003,44,2,#,NA,UNIVERSITY,CIR,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50768,180011000,Single Family,1 Story,C,Brick Veneer,Metal,Hardwood,Full Basement,Floor Furnace,1,1936,1,6,3,0,1,0,1266,1266,0
2220,38.031048312740346,-78.47166232908924,68128508,400,B,#,NA,10TH,ST,NE,22902,NA,PFAUTZ,2016-11-28T17:23:02Z,50770,180015110,Single Family-1 Conversion,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1962,1,9,5,0,2,0,1068,1068,700
2226,38.04300242309561,-78.49533104963363,303813655,821,A,#,NA,CABELL,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50771,180015170,Single Family-1 Conversion,1 Story,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1964,1,9,6,1,2,0,1111,1111,1055
2218,38.03858193443534,-78.5002206211445,442915112,1534,B,#,NA,VIRGINIA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50769,180015100,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1961,1,6,4,0,2,0,1012,806,0
2230,38.0397270252843,-78.48444134179715,397014643,802,4,#,NA,CYNTHIANNA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50772,180015201,Single Family,Split-Foyer,C,Brick Veneer,Shingles,Hardwood,Full Basement,Heat Pump,2,1963,1,8,4,0,2,0,1107,1110,990
2231,38.0397270252843,-78.48444134179715,397014643,802,B,#,NA,CYNTHIANNA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50773,180015210,Single Family,1 Story,C,Precast Panel,Shingles,Hardwood,Partial Basement,Forced Air,1,1961,1,6,3,1,2,1,1233,617,257
2308,38.02312112321964,-78.47219197831518,102562856,1102,1,#,NA,LEONARD,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:00Z,50805,180055200,Duplex,1 Story,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1957,1,8,5,0,2,0,979,979,734
2279,38.02973808552857,-78.47886581283282,7011249,416,I,#,W,MAIN,ST,NA,22903,C,PFAUTZ,2016-11-28T17:23:00Z,50793,180034100,Single Family,2 Story,C,Wood,Shingles,None,No Basement,Gas Wall Unit,0,1950,2,3,1,0,1,0,604,NA,NA
2480,38.03012343558228,-78.48165879352999,6984753,105,2,#,W,WATER,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:00Z,50841,190003000,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1932,1.5,7,4,1,3,0,2662,335,NA
2665,38.030894680244764,-78.48119599051849,680722036,107,3,#,W,MAIN,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:00Z,50872,190057200,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1956,1,8,4,0,1,0,1031,825,413
2583,38.03091319149631,-78.5027834272173,13937149,428,205,#,NA,MONROE,LN,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50855,190035340,Single Family-1 Conversion,1.5 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1961,1.5,9,4,0,3,0,1215,810,750
2666,38.030894680244764,-78.48119599051849,680722036,107,4,#,W,MAIN,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:00Z,50873,190058000,Duplex,2 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1969,2,12,6,0,2,0,3168,1584,0
2584,38.03091319149631,-78.5027834272173,13937149,428,308,#,NA,MONROE,LN,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50856,190035350,Single Family,1.5 Story,C,Masonite,Shingles,Hardwood,No Basement,Forced Air,1,1975,1.5,6,3,0,2,0,1440,NA,NA
2679,-90,-152.64427050222758,66681755,113,205,#,W,MAIN,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:00Z,50874,190070000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1956,1,8,3,0,1,0,1009,1009,505
2680,-90,-152.64427050222758,66681755,113,204,#,W,MAIN,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:00Z,50875,190071000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1957,1,5,3,0,1,0,992,992,0
2686,38.03435433120368,-78.49824083717247,587116605,1306,B,#,NA,WERTLAND,ST,NA,22903,R,PFAUTZ,2016-11-28T17:22:59Z,50876,190077000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1956,1,8,3,0,1,0,1002,1002,500
2813,38.03091319149631,-78.5027834272173,13937149,428,203,#,NA,MONROE,LN,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50880,200101000,Single Family,2 Story,B,Vinyl,Shingles,Hardwood,No Basement,Heat Pump,1,2000,2,6,3,1,2,0,1680,NA,NA
2016,38.042282490029,-78.46162194827292,320313813,1033,1/2,#,NA,LOCUST,AVE,NA,22901,R,PFAUTZ,2016-11-28T17:23:02Z,50721,170032000,Duplex,2 Story,B,Wood,Shingles,Hardwood,No Basement,Heat Pump,0,1950,2,9,5,0,3,0,2121,0,0
2814,38.03091319149631,-78.5027834272173,13937149,428,204,#,NA,MONROE,LN,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50881,200102000,Single Family,1 Story,C,Wood,Architectural Shingles,Hardwood,No Basement,Baseboard,0,1920,1,6,2,0,1,0,1028,NA,NA
2023,38.033754172079966,-78.47940484491238,605316778,415,1,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02Z,50723,170037000,Duplex,2 Story,B,Vinyl,Shingles,Other,No Basement,Forced Air,0,1980,2,12,6,2,2,0,2442,0,0
2008,38.0280005545829,-78.51123083275455,8020992,1821,7,#,NA,JEFFERSON PARK,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50720,170025000,Single Family,2 Story,B,Stucco,Shingles,Other,Full Basement,Hot Water Radiator,1,1935,2,7,3,0,2,0,1718,339,0
2030,38.047492411713286,-78.48768552260344,195312410,1608,1/2,#,NA,OXFORD,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50725,170048000,Single Family,2 Story,B,Stucco,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1935,2,6,3,0,2,0,1630,671,0
2032,38.02651428911146,-78.46128163981741,86309186,1413,B,#,NA,SHORT 18TH,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:02Z,50727,170050000,Single Family-1 Conversion,1 Story,B,Stucco,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1939,1,10,5,0,2,0,1589,1059,684
2038,38.03407710275251,-78.47883967041781,596916712,440,B,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02Z,50730,170055000,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,Partial Basement,Forced Air,1,1925,1.5,14,9,2,4,0,3704,266,0
2034,38.05686618347322,-78.50102885345851,99711080,1243,B7,#,NA,CEDARS,CT,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50728,170052000,Single Family,1.5 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1952,1.5,5,2,1,2,0,1168,730,311
2040,38.03312743885935,-78.47505335928213,626116921,508,2,#,NA,7TH,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:01Z,50732,170057000,Duplex,1 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Floor Furnace,0,1965,1,10,4,0,2,0,1844,0,0
2041,-90,-152.64427050222758,1013120017,1518,102,#,E,MARKET,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:02Z,50733,170057100,Duplex,1 Story,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1961,1,9,5,0,2,0,1056,1056,1056
2045,38.04098312665305,-78.49442002308018,357814305,762,B,#,NA,MADISON,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50734,170057500,Single Family-1 Conversion,1 Story,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0,1961,1,8,4,0,3,0,924,924,924
2047,38.06351531779387,-78.49282284432721,33517170,1924,1,#,NA,SWANSON,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:02Z,50735,170057700,Duplex,1 Story,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0,1963,1,9,5,0,2,0,909,909,809
2051,38.03988759725091,-78.48800131866345,388214567,921,1,#,NA,HENRY,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:00Z,50737,170059000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2053,38.040805250804326,-78.49689641248914,367514279,604,A,#,NA,15TH,ST,NW,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50739,170061000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2054,38.025774420240616,-78.47417437932786,90379369,216,A,#,NA,DOUGLAS,AVE,NA,22902,R,PFAUTZ,2016-11-28T17:23:02Z,50740,170061100,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2063,38.02618828515293,-78.51018449490242,88691567,205,A,#,NA,SHAMROCK,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50741,170066100,Duplex,2 Story,B,Vinyl,Shingles,None,No Basement,Heat Pump,0,2007,2,14,8,0,4,0,3020,0,0
2064,38.01648741171016,-78.51782258039073,129256261,2709,B,#,NA,ETON,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50742,170067000,Single Family,2 Story,B,Vinyl,Shingles,Hardwood,No Basement,Heat Pump,NA,2013,2,7,4,0,2,0,1456,NA,NA
2071,38.02230334105685,-78.52216592673717,104473218,235,A,#,NA,STRIBLING,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02Z,50744,170080100,Condominium,2 Story,C,Wood,Shingles,W/W Carpet,No Basement,Forced Air,0,1973,2,5,3,0,2,NA,908,0,0
