RecordID_Int,ParcelNumber,UseCode,YearBuilt,GrossArea,StoryHeight,NumberOfStories
1904,530122000,Office Building,1900,2774,12,2.00
1905,530122000,Office Building,1900,154,12,1.00
1906,530122100,Office Building,1905,2768,10,2.00
1907,530122100,Office Building,1905,169,8,1.00
1908,530123000,Office Building,1954,5653,20,1.00
1909,530123000,Office Building,1954,5268,12,3.00
1910,530123000,Office Building,1954,23846,12,2.00
1911,530123000,Office Building,1954,414,12,1.00
1912,530131100,Office Building,1900,1898,10,1.50
1913,530134000,Apartments 1-10 units,1925,2820,10,1.00
1914,530144000,Apartments 11-20 Units,1967,49002,12,3.00
1915,530144000,Apartments 11-20 Units,1967,49002,12,3.00
1916,530150000,Office Building,1900,2112,10,2.00
1917,530150000,Office Building,1900,544,8,2.00
1918,530151000,Office Building,1910,3040,12,2.00
1919,530151000,Office Building,1910,409,12,1.00
1920,530152000,Office Building,1925,2832,10,2.00
1921,530153000,Office Building,1920,3750,12,2.50
1922,530155000,Office Building,1964,57935,10,1.00
1923,530155000,Office Building,1964,23634,10,2.00
1924,530155L00,Office Building,1964,57935,10,1.00
1925,530155L00,Office Building,1964,23634,10,2.00
1926,530155LA0,Office Building,1964,3494,10,1.00
1927,530155LB0,Office Building,1964,500,10,1.00
1928,530155LC0,Office Building,1964,1335,10,1.00
1929,530155LD0,Office Building,1964,1450,12,1.00
1930,530155LE0,Office Building,1964,232,10,1.00
1931,530155LF0,Office Building,1964,24255,10,1.00
1932,530160000,Office Building,1990,42404,12,4.00
1933,530160000,Office Building,1990,42404,12,4.00
1934,530160000,Office Building,1990,42404,12,4.00
1935,530162100,Office Building,1890,5368,14,2.00
1936,530162100,Office Building,1890,10156,14,1.00
1937,530162200,Office Building,1992,85000,12,4.00
1938,530169000,Multiple Commercial Use,1964,2757,12,1.00
1939,530169000,Multiple Commercial Use,1964,2757,12,1.00
1940,530172000,Office Building,1960,855,12,1.00
1941,530173190,Office,1989,1671,12,1.00
1942,530173201,Office,1989,1925,12,1.00
1943,530173210,Office,1989,1925,12,1.00
1944,530173220,Office,1820,2550,10,3.00
1945,530173230,Office Building,1820,585,12,1.00
1946,530178000,Barber Shop,1972,480,12,1.00
1947,530180000,Office Building,1962,6864,8,2.00
1948,530180000,Office Building,1962,5250,8,3.00
1949,530180000,Office Building,1962,358,8,1.00
1950,530184000,Office Building,1900,5468,12,2.50
1951,530184000,Office Building,1900,682,8,1.00
1952,530185000,Office Building,1920,2803,12,2.50
1953,530185000,Office Building,1920,311,12,1.00
1954,530186000,Office Building,1930,1690,12,2.50
1955,530186000,Office Building,1930,246,12,1.00
1956,530187000,Office Building,1900,1932,12,2.00
1957,530188000,Office Building,1937,1638,12,2.00
1958,530188000,Office Building,1937,710,12,1.00
1959,530191000,Apartments 1-10 units,1925,2230,8,2.00
1960,530191000,Apartments 1-10 units,1925,559,8,1.00
1961,530192000,Office Building,1913,2432,12,2.00
1962,530192000,Office Building,1913,384,12,2.0
1963,530193000,Office Building,1930,2138,12,2.00
1964,530193000,Office Building,1930,247,12,1.00
1965,530194000,Office Building,1880,2395,12,1.00
1966,530194000,Office Building,1880,806,12,2.00
1967,530194000,Office Building,1880,506,12,3.00
1968,530194100,Office Building,1957,3984,12,1.00
1969,530194100,Office Building,1957,372,12,1.00
1970,530197000,Service Repair Garage,1964,986,12,1.00
1971,530197000,Service Repair Garage,1964,754,12,1.00
1972,530228000,Office Building,1912,2630,10,2.00
1973,530232000,Office Building,1900,2086,10,1.00
1974,530232000,Office Building,1900,144,10,1.00
1975,530234000,Office Building,1928,56556,14,1.00
1976,530234000,Office Building,1928,56556,14,1.00
1977,530234000,Office Building,1928,56556,14,1.00
1978,530247000,Office Building,1969,105784,12,6.00
1979,530247000,Office Building,1969,23142,10,5.00
1980,530247000,Office Building,1969,14415,11,6.00
1981,530257000,Office Building,1920,208,10,1.00
1982,530257000,Office Building,1920,2036,10,2.00
1983,530259100,Office,2005,670,11,1.00
1984,530259A00,Commercial,2004,2569,12,1.00
1985,530259B00,Commercial,0,2695,12,1.00
1986,530260000,Office Building,1891,2690,10,2.50
1987,530260000,Office Building,1891,539,10,1.00
1988,530261000,Apartments 1-10 units,1833,2686,10,2.00
1989,530261000,Apartments 1-10 units,1833,178,10,1.00
1990,530262000,Office Building,1920,3612,10,2.00
1991,530262000,Office Building,1920,804,10,1.00
1992,530263000,Office Building,1920,2254,10,2.00
1993,530264000,Office Building,1918,1660,10,2.00
1994,530264000,Office Building,1918,126,10,1.00
1995,530265000,Office Building,1925,1660,10,2.00
1996,530265000,Office Building,1925,126,10,1.00
1997,530267000,Office Building,1925,1148,10,1.00
1998,530268000,Office Building,1923,1304,10,1.50
1999,530268000,Office Building,1923,91,10,1.00
2000,530269000,Office Building,1920,1600,10,2.00
2001,530270000,Office Building,1920,2820,10,2.00
2002,530271000,Medical Office,1980,3378,10,2.00
2003,530272000,Office Building,1890,2698,10,1.00
2004,530272000,Office Building,1890,2698,10,1.00
2005,530272000,Office Building,1890,2698,10,1.00
2006,530272000,Office Building,1890,104,10,1.00
2007,530273000,Office Building,1959,5970,12,1.00
2008,530274000,Medical Office,1956,1975,12,1.00
2009,530275100,Office Building,1925,1626,10,2.00
2010,530275100,Office Building,1925,149,10,1.00
2011,530276000,Office Building,1914,4666,10,2.00
2012,530276000,Office Building,1914,4966,10,1.00
2013,530280000,Medical Office,1923,3213,10,2.50
2014,530280000,Medical Office,1923,172,10,1.00
2015,530281000,Office Building,1923,1934,10,1.50
2016,530281000,Office Building,1923,305,10,1.00
2017,530286000,Office Building,1950,5755,10,1.00
2018,530288000,Service Repair Garage,1964,8846,12,1.00
2019,530291000,Office Building,1920,3586,10,2.00
2020,530292000,Office Building,1910,3804,10,2.00
2021,530293000,Market,1961,2321,12,1.00
2022,530297000,Bank,1989,2047,10,1.00
2023,530299000,Medical Office,1998,2978,10,2.00
2024,530299100,Office,1989,2147,10,1.00
2025,530299101,Office,1989,2247,10,1.00
2026,530299110,Office,1989,860,10,1.00
2027,530299200,Retail,1989,870,10,1.00
2028,530299300,Medical Office,1989,3349,10,1.00
2029,530299400,Medical Office,1989,2109,10,1.00
2030,530299500,Medical Office,1989,1126,10,1.00
2031,530299600,Office,1989,1844,10,1.00
2032,530299700,Office,1989,1274,10,1.00
2033,530299800,Office,1989,2566,10,1.00
2034,530299900,Office,1989,762,10,1.00
2035,530299A00,Medical Office,1998,3260,10,2.00
2036,530301000,Office Building,1900,2366,8,2.00
2037,530301000,Office Building,1900,104,12,1.00
2038,540004000,Office Building,1890,,,
2039,540004100,Medical Office,1959,2064,10,1.00
2040,540005000,Medical Office,1948,1578,8,1.5
2041,540005000,Medical Office,1948,65,8,1.0
2042,540007000,Medical Office,1953,4715,10,1.00
2043,540007000,Medical Office,1953,9860,10,1.00
2044,540008000,Office Building,1924,2214,10,2.00
2045,540009000,Office Building,1939,1588,10,1.90
2046,540010000,Office Building,1921,1416,8,1.50
2047,540010000,Office Building,1921,847,8,1.00
2048,540017000,Medical Office,1969,5930,10,2.00
2049,540018000,Medical Office,1993,8860,10,2.00
2050,540019000,Office Building,1927,1302,8,2.00
2051,540019000,Office Building,1927,362,8,1.00
2052,540019100,Medical Office,1983,3722,8,2.00
2053,540020000,Office Building,1900,2758,10,2.00
2054,540020000,Office Building,1900,482,10,1.00
2055,540021000,Office Building,1910,2498,12,2.00
2056,540021000,Office Building,1910,35,12,1.00
2057,540024000,Office Building,1925,1260,8,1.00
2058,540025000,Apartments 1-10 units,1893,2116,8,2.00
2059,540033000,Office Building,1900,532,8,2.00
2060,540033000,Office Building,1900,409,8,1.00
2061,540054100,Office Building,1957,779,12,1.00
2062,540055000,Office Building,1947,1302,12,1.00
2063,540057000,Office Building,1947,868,12,1.00
2064,540058000,Retail Store,1920,3138,10,1.00
2065,540060000,Retail Store,1973,5961,12,1.00
2066,540061000,Retail Store,1988,6800,10,2.00
2067,540061300,Office Building,1986,608,16,1.00
2068,540061500,Convenience Market,1953,5153,12,1.00
2069,540107200,Apartments over 20 units,1972,18024,12,3.00
2070,540112000,Office Building,1920,1890,8,2.00
2071,540112000,Office Building,1920,199,8,1.00
2072,540113000,Commercial,1954,349,8,1.00
2073,540113000,Commercial,1954,3032,8,2.00
2074,540113000,Commercial,1954,328,8,1.00
2075,540114000,Medical Office,1964,8520,10,2.00
2076,540115000,Bank,1972,612,12,1.00
2077,540118000,Medical Office,1965,3204,10,2.00
2078,540119000,Medical Office,1981,9650,10,2.00
2079,540119000,Medical Office,1981,9650,10,2.00
2080,540120000,Classroom  (Elem/2nd Sch),,,,
2081,540120000,Classroom  (Elem/2nd Sch),,,,
2082,540120000,Classroom  (Elem/2nd Sch),,,,
2083,540123000,Day Care Center,1946,3018,9,1.00
2084,540123000,Day Care Center,1946,3018,9,1.00
2085,540123000,Day Care Center,1946,3018,9,1.00
2086,540125000,Office Building,1946,930,8,1.00
2087,540125000,Office Building,1946,657,8,1.00
2088,540126000,Medical Office,1990,2160,10,1.00
2089,540126000,Medical Office,1990,1721,10,1.00
2090,540127000,Medical Office,1972,20562,10,2.00
2091,540128000,Office Building,1925,3340,10,2.00
2092,540128000,Office Building,1925,142,10,1.00
2093,540129000,Office Building,1925,2560,10,2.50
2094,540129000,Office Building,1925,1162,10,2.00
2095,540129000,Office Building,1925,256,10,1.00
2096,540130000,Office Building,1985,3192,8,2.00
2097,540131000,Commercial,1925,2044,,
2098,540131000,Commercial,1925,252,,
2099,540133000,Office Building,1925,2744,10,2.00
2100,540134000,Office Building,1925,1644,8,2.00
2101,540137120,Office Building,2007,1260,12,1.00
2102,540137130,Office Building,2007,0,12,1.00
2103,540137190,Office Building,2007,1305,12,1.00
2104,540137A00,Office,0,984,10,1.00
2105,540137B00,Office,0,2345,9,1.00
2106,540137C00,Office,0,2326,9,3.00
2107,540137D00,Office Building,0,2495,9,3.00
2108,540137E00,Office,0,,,
2109,540141000,Day Care Center,2013,4495,10,1.00
2110,540141000,Day Care Center,,,,
2111,540143000,Group Care Home,1920,3714,12,2.00
2112,540143000,Group Care Home,1920,280,12,1.00
2113,540144000,Office Building,1957,1804,8,1.00
2114,540144000,Office Building,1957,1125,12,1.00
2115,540145000,Office Building,1971,1652,10,1.00
2116,540145000,Office Building,1971,3776,10,1.00
2117,540145000,Office Building,1971,1652,10,1.00
2118,540145000,Office Building,1971,3776,10,1.00
2119,540148000,Office Building,1946,1422,8,2.00
2120,540148000,Office Building,1946,419,8,1.00
2121,540149000,Apartments 1-10 units,1946,1198,8,2.00
2122,540149000,Apartments 1-10 units,1946,379,8,1.00
2123,540150000,Office Building,1925,2642,10,2.00
2124,540150000,Office Building,1925,190,10,1.00
2125,540154000,Multiple Commercial Use,1984,16744,12,1.00
2126,540154000,Multiple Commercial Use,1984,7150,12,1.00
2127,540154000,Multiple Commercial Use,1984,1350,12,1.50
2128,540154000,Multiple Commercial Use,1984,1800,12,2.00
2129,540156100,Multiple Commercial Use,1958,4500,12,1.00
2130,540156100,Multiple Commercial Use,1958,13131,12,1.00
2131,540158000,Industrial Light Manufacturing,1952,9128,10,1.00
2132,540159000,Dist. Warehouse,1973,18672,20,1.00
2133,540159000,Dist. Warehouse,1973,3750,12,1.00
2134,540161000,Multiple Commercial Use,1970,17465,12,1.00
2135,540168000,Medical Office,1977,4500,10,1.00
2136,540185000,Apartments 1-10 units,1925,3062,8,2.00
2137,540185000,Apartments 1-10 units,1925,100,8,1.00
2138,540253000,Multiple Commercial Use,1935,1323,12,1.00
2139,540253000,Multiple Commercial Use,1935,1323,12,1.00
2140,540255000,Dist. Warehouse,1989,16800,20,1.00
2141,540255000,Dist. Warehouse,1989,9352,10,1.00
2142,540267000,Commercial,1950,2380,10,1.00
2143,540270000,Service Repair Garage,1983,2528,14,1.00
2144,540271000,Office Building,1985,5651,10,1.00
2145,540271000,Office Building,1985,5000,12,2.00
2146,540273000,Multiple Commercial Use,1999,10800,12,1.35
2147,540277100,Medical Office,1993,6096,10,2.00
2148,540277A00,Apartments 11-20 Units,2001,10455,10,3.00
2149,540277A00,Apartments 11-20 Units,2001,1640,10,1.00
2150,540277A10,Office,2001,2262,12,1.00
2151,540277B00,Office,2001,2236,12,1.00
2152,540277C00,Office,2001,1952,12,1.00
2153,540277D00,Office,2001,2262,12,1.00
2154,540277F00,Office,2001,4500,12,1.00
2155,540277G00,Office,2001,2036,12,1.00
2156,540277H00,Office,2001,2655,12,1.00
2157,540277I00,Office,2001,2366,12,1.00
2158,540277J00,Office,2001,2246,12,1.00
2159,550019000,Natatorium (Swimming Pool),1975,1020,12,1.00
2160,550019000,Natatorium (Swimming Pool),1975,2154,12,1.00
