RecordID_Int,ParcelNumber,UseCode,YearBuilt,GrossArea,StoryHeight,NumberOfStories
2313,580268100,Service Repair Garage,1945,1058,12,1.00
2314,580281000,Commercial,1950,1514,12,1.00
2315,580282000,Retail Store,1945,853,12,1.00
2316,580289000,Office Building,1998,34407,12,1.00
2317,580289100,Industrial Light Manufacturing,1994,41088,12,2.00
2318,580319000,Apartments 1-10 units,1920,,,
2319,580334000,Office,1910,2213,8,1.00
2320,580335000,Office,1910,1911,8,1.00
2321,580335000,Office,1910,389,8,1.00
2322,580336000,Office Building,1984,6975,12,1.50
2323,580336000,Office Building,1984,6975,12,1.50
2324,580348000,Retail Store,1923,11818,12,2.00
2325,580348000,Retail Store,1923,1059,12,1.00
2326,580348100,Commercial,1953,1296,8,2.0
2327,580349000,Restaurant,1920,4284,10,2.0
2328,580349000,Restaurant,1920,4284,10,2.0
2329,590029000,Market,1920,480,10,1.00
2330,590029000,Market,1920,480,10,1.00
2331,590029000,Market,1920,480,10,1.00
2332,590053BO0,Governmental Bldg.,1950,318,12,1.00
2333,590083000,Convenience Market,1948,1578,8,1.50
2334,590142000,Recreational Enclosure,2000,429,10,1.00
2335,590149200,Convenience Market,1980,2400,12,1.00
2336,590152000,Office,1997,3344,12,1.00
2337,590221000,Convenience Market,1920,824,12,1.00
2338,590221000,Convenience Market,1920,694,10,1.00
2339,590246000,Church,1946,1680,12,1.00
2340,600147000,Church,1960,4526,12,1.00
2341,600226000,Church,1920,3707,12,1.00
2342,600252100,Apartments 11-20 Units,2012,17187,12,3.00
2343,600252100,Apartments 11-20 Units,2012,6360,14,1.00
2344,600255000,Clubhouse,1970,638,12,1.00
2345,610002000,Apartments over 20 units,1924,31616,8,2.00
2346,610002000,Apartments over 20 units,1924,13008,8,3.00
2347,610032000,Retail Store,1920,3124,10,2.00
2348,610032000,Retail Store,1920,1703,10,1.00
2349,610049300,Office Building,1991,1800,10,1.00
2350,610049300,Office Building,1991,1800,14,1.00
2351,610049400,Office Building,1996,5700,10,1.50
2352,610049400,Office Building,1996,3800,12,1.00
2353,610049500,Office Building,1992,4180,10,1.00
2354,610049500,Office Building,1992,2220,14,1.00
2355,610049500,Office Building,1992,4760,14,2.00
2356,610049500,Office Building,1992,1350,20,1.00
2357,610049600,Office Building,1990,3300,10,1.00
2358,610049600,Office Building,1990,10500,16,1.00
2359,610049700,Office Building,1992,1400,10,1.00
2360,610049700,Office Building,1992,3375,12,1.00
2361,610049800,Office Building,1991,2080,10,1.00
2362,610049800,Office Building,1991,2080,14,2.00
2363,610054100,Office Building,1990,884,12,1.00
2364,610054100,Office Building,1990,1800,12,1.00
2365,610055000,Commercial,1996,600,10,1.00
2366,610055000,Commercial,1996,3900,12,1.00
2367,610056000,Service Repair Garage,1973,6059,18,1.00
2368,610056000,Service Repair Garage,1973,2700,12,1.00
2369,610057000,Mini-Mart Convenience Store,1995,2325,15,1.00
2370,610057200,Service Repair Garage,1977,900,12,1.00
2371,610057600,Service Repair Garage,1963,648,10,1.00
2372,610057600,Service Repair Garage,1963,2400,16,1.00
2373,610057A00,Commercial,0,,,
2374,610084400,Storage Warehouse,1958,2930,12,1.00
2375,610086000,Church,1982,2200,12,1.00
2376,610086000,Church,1982,840,12,1.00
2377,610098000,Storage Warehouse,1949,3307,12,1.00
2378,610102000,Storage Warehouse,1973,2784,12,1.00
2379,610107000,Multiple Commercial Use,1950,2627,12,1.00
2380,610107000,Multiple Commercial Use,1950,2627,12,1.00
